Symbol,거래,승률,CAGR,MDD
TSLA,1056,50.2,18.1,-53.1
AVGO,1069,43.9,-19.9,-90.8
NVDA,1043,52.0,4.3,-59.1
META,1097,42.2,-28.5,-97.1
NKE,1087,36.6,-36.9,-99.0
TXN,1101,39.1,-31.4,-97.9
AMZN,1007,47.5,-10.9,-68.6
GOOGL,1097,38.9,-29.7,-97.8
DHR,1069,36.2,-28.0,-96.9
AAPL,1176,39.3,-30.5,-97.4
